S.No,Analysis name,Analysis Objective,Observations/Findings,Business Area,Subject Area,CXA Program,Stakeholder,CXA Owner,Responsible ,Accountable,Consulted,Informed,Contact of Source System,Location ,Date produced,Deployed in Prod,Tags,Parent/Related Story,Note,SQL,Table Used
1,Adhoc NPS:  Washington Region X1 Customer rNPS Trend,"Purpose of this story is to determine the rNPS score for X1 customers and legacy customers by tenure. Source of X1 Customer is Rosetta data. Reason to not choose Netezza for Customer Data - ""Rosetta (NDW) has 4% more records indicating X1 Customer","Overall X1 rNPS is much higher than legacy customers.
First 90 days tenure is showing volatile score between X1 and non-X1 customer

",NPS,rNPS,NPS,Bryan Kelly for Lucien Calvert ,Bryan Kelly,Mike D,Bryan Kelly,Bryan Kelly,CXA,Gabriela Corchado with West Region,https://comcast.box.com/s/2ys7060op7c4fbsmjcv7suf3rqwc5slw,2014-12-21 to 2016-12-22,NO,"rNPS, Tenure, X1 , Washington , Seattle",None,Analysis is only for Seattle region,"SELECT 
sum(S.WEIGHTED_SCORE)as weighted_score,
sum(S.weight) as weigh,
substring(D.FY_MONTH_END_DT,1,10) as month_end_dt, 
substring(D.FY_MONTH_END_DT,1,4)||'~'||substring(D.FY_MONTH_END_DT,6,2) as Fmonth_end_dt, 
case R.X1_PLATFORM when 1 then 'X1'
else 'Non X1' end as X1,
count(distinct datalink_id) as survey_count
,case when s.TENURE <3 then 'Days 0 to 90'
  when s.TENURE between 3 and 6 then 'Days 91 to 180'
  when s.TENURE between 6.0000000000001 and 12 then 'Days 181 to 365'
  when s.TENURE between 12.000000000001and 24 then 'Years 1 to 2'
  when s.TENURE between 24.000000000001 and 36 then 'Years 2 to 3'
  when s.TENURE  > 36 then 'Years 3 +'
  else 'Other' end as Tenure, s.TENURE as mTenure
 FROM CXA_REPORTING.NZUSER.V_RNPS_LOYALTY_SURVEY S
 --left outer join CXA_REPORTING.NZUSER.V_CUSTOMER_DIM C
 --on c.ACCOUNT_NUMBER=S.ACCOUNT_NUMBER
 left outer join CXA_REPORTING.NZUSER.V_DATE_DIM D
   --on D.CAL_DATE=S.SURVEY_DATE
    on S.SURVEY_DATE between D.CAL_DATE - interval '3 months'   
    and D.CAL_DATE- interval '1 days'
 left outer join sandbox..ADHOC_SEATTLE_X1_ACCOUNTS2014 R
  on R.ACCOUNT_NUMBER=S.ACCOUNT_NUMBER
where S.REGION='Seattle' 
and D.FY_MONTH_END_DT>'2014-12-21'
and D.FY_MONTH_END_DT<'2016-12-22'
and S.promoter_detractor between -1 and 1 
and s.account_number is not null
and D.cal_day_diff between -736 and 0
group by 3,4,5,7,8","V_RNPS_LOYALTY_SURVEY , V_DATE_DIM,ADHOC_SEATTLE_X1_ACCOUNTS2014"
2,Alerts & Non Alerts in Medallia,Purpose of this story is to understand the Alerts and Non Alerts from Medallia and also present the inbound feedback form and the different alerts triggered as part ofMEDALLIA NPS EMAIL surveys.,"Alerts : Only surveys with an alert are tracked as closed callbacks in Medallia

Non Alerts: If all alerts for a region have been closed, you can begin to call back Non-alert triggered surveys

Inbound Feedback Form: Customer feedback that is not tied to a survey.

Medallia NPS Email Surveys:
Onboarding & Upgrades
Repair & Reliability
Billing
Journey Agnostic

",NPS,NPS,NPS,Bryan Kelly,Bryan Kelly,Bryan Lucas,Bryan Kelly,Bryan Kelly,CXA,Medallia Team,https://comcast.app.box.com/files/0/f/15384927368/US881344_Callback_Compliance_,21-09-2016,NO,"NPS, Alerts,Inbound Feedback Form, Email Surveys",None,Needs more inputs to understand the observations made using multiple files and queries available in the zip file mentioned in the location column.,,
3,"ATTI & ATTR Install -
Truck Roll Scheduling Experience Survey",Measure Customer Satisfaction for their install and repair trucks and health check on quota structure,"Current Time Frame(at the time of analysis): Install and repairs were frequent on Tuesday, Wednesday and Thursday.
Customer Preference for Install and Repair times : Monday, Friday and Saturday.

Customers who got the preferred timing had higher tNPS compared to the ones who did not.",TNPS,"ATTI, ATTR",CXA,Bryan Kelly,Bryan Kelly,"Hannibal Hesson
Skylar English",Bryan Kelly,Bryan Kelly,Bryan Kelly,Data: Source from Inmoment survey for install and repair times; survey was sent 2 days post the truck was sent.N6,https://comcast.app.box.com/files/0/f/11525903921/ATTR_-_ATTI,04-10-2016,NA,"tNPS,ATTI,ATTR,install,Repair, Truck Roll,Scheduling,Inmoment,Health Check, Quota",-,-,Input is excel file,NA
4,Product Usage Survey - Verbatim Analysis,Understand pain points of Customer for video and internet products using verbatims.,"Video verbatims had easily identifiable features that were subsets of pain points like recordings end before the program ends,wrong programs records, Limited Space quality while recording, Latency using DVR, Bad Remote experience and others.

Internet verbatims had themes that provided insight to why customers were promoters/detractors.",Product Usage,"Video,tNPS",CXA,Bryan Kelly,Bryan Kelly,Taylor Lee,Bryan Kelly,Bryan Kelly,Bryan Kelly,Video and Internet related Verabatims.,https://comcast.app.box.com/files/0/f/9034391582/Verbatim_Analysis,25-07-2016,NA,"X1,VOD,DVR,Verbatim,Video,tNPS,Product Usage,Video,pain points,recordings,wrong programs,Limited Space, quality, Latency,DVR, Bad Remote,Internet promoters,detractors.",,,Input is excel file,NA
5,Product Usage Survey - Customer reported pain points vs Network Data,Identify Network data that may be linked to customer reported pain points for both HSD and Video,"Even though this analysis did not yield any conclusive results, it provided a better understanding of network data and the effort required to find insights about the Reliability Journey. 
",Product Usage,HSD and Video,CXA,Bryan Kelly,Bryan Kelly,Rui Wen,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/7046167017/Correlation_Analysis,01-07-2016,,"HSD, VIDEO,pain point, network data",,Data are pulled with query and analysis was doen in R,Tables created for analysis on Sandbox database are not available.,NA
6,NPS Onboarding CIR,NED sent out mover email for a small amount of time on two days. We need to pull the CIR for those days and contrast them with transfers for the period just before and after the emails went out as a way of showing that letting the onboarding team roll out the mover emails is a good idea,CIR was 0 or 1 for the dates 2/4/2016 and 5/19/2016,NPS,EMS,CXA,Bryan Kelly,Bryan Kelly,Bryan Lucas,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/8975337442/US738832_NPS_Onboarding_CIR,15-08-2016,,"EMS, MOVER, NED,CIR emails, onboarding team",US738832,,,
7,NPS Analysis:P90 rNPS Tenure Trend Tool,"Build an automated rNPS for 0-90 days, 90-365 days and above 1 year tenures",rNPS improved from -18.3 in March 2015 to -10.8 in July 2016,NPS,rNPS,CXA,Bryan Kelly,Bryan Kelly,Hannibal Hesson,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/10993060428/P-90,23-08-2016,,"rNPS, Tenure",US757071,,"select dd.fy_month_end_dt
, case when nps.tenure between 0 and 2.9 then '0-90'
WHEN nps.tenure between 3 and 12.0 then '90-1yr'
WHEN nps.tenure > 12.0 then '1yr+' end as tenure1
,MIN((dd.CAL_DATE - interval '3 months'))
,MAX((dd.CAL_DATE - interval '3 months'))
, (sum(nps.WEIGHTED_SCORE)/sum(nps.weight) *100)::DECIMAL(8,1) as weighted_rNPS_3_month_rolling
,SUM(nps.WEIGHTED_SCORE) as Weight_Score
, sum(nps.weight) as Weight
, count(1), count(distinct datalink_id) as Acct_Count
--, COUNT(distinct (CASE WHEN PROMOTER_DETRACTOR = 1 THEN account_number ELSE NULL END)) as Promoters
--, SUM(CASE WHEN PROMOTER_DETRACTOR = 1 THEN WEIGHTED_SCORE ELSE NULL END) as Promoter_Weighted
--, COUNT(distinct (CASE WHEN PROMOTER_DETRACTOR = 0 THEN account_number ELSE NULL END)) as Passives
--, SUM(CASE WHEN PROMOTER_DETRACTOR = 0 THEN WEIGHTED_SCORE ELSE NULL END) as Passive_Weighted
--, COUNT(distinct (CASE WHEN PROMOTER_DETRACTOR = -1 THEN account_number ELSE NULL END)) as Detractors
--, SUM(CASE WHEN PROMOTER_DETRACTOR = -1 THEN WEIGHTED_SCORE ELSE NULL END) as Detractor_Weighted
from DW_PRES..DATE_DIM DD
INNER join SANDBOX..V_RNPS_LOYALTY_SURVEY2 nps on nps.SURVEY_DATE between dd.fy_month_end_dt - interval '3 months'   and dd.fy_month_end_dt- interval '1 days'
WHERE nps.SURVEY_DATE between '2014-12-22' and '2016-07-21'
and 
NVL(LIKELIHOOD_TO_RECOMMEND, -997) not in (-997, -998)
group by 1,2
order by 1, 2
;",V_RNPS_LOYALTY_SURVEY2
8,Creation of a report for Xfinity moves assistant ,Creation of Xfinity Moves Assistant report  to show 30 day and 7 day CIRs on a regular basis so that we don't have to pull this repeatedly every week.,-,Product Usage,CIR,CXA,Bryan Kelly,Bryan Kelly,Hannibal Hesson,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/9437507601/US736842-_Xfinity_Moves_Assistant,22-08-2016,,"CIR, MOVES ASSISTANT,Xfinity",US736842,,,
9,CXA Reporting:Customer Equipment DIMUpgrade,"NDW Data Consistency Issues:

Not consistent with Einstein: 30% error rate at the account level

Appears to retain equipment that has been swapped-out or upgraded

NDW needs to review their processing related to equipment / devices
","Discussed this with Jack Beitler, Product Owner of Einstein 360

There is a SOAP-based API being used to report customer equipment and devices

Pentaho Data Integration has a SOAP adapter and XML parser

New jobs and transforms need to be developed using SOAP and XML

Jobs can be run daily or weekly

Our equipment dimension will then be consistent with what is being reported out of Einstein 360.
",Einstein,Video,CXA,Bryan Kelly,Bryan Kelly,MarkSimms,Bryan Kelly,John Beitler,Bryan Kelly,John Beiter,https://comcast.app.box.com/files/0/f/16291509806/US894123-Infrastructure%3A_ETL_-_SPIKE_Find_potential_sources_for_Customer_Dim_and_Customer_Equipment_Dim_in_NDW,24-01-2017,,"Customer Equipment ,SOAP-based API,Einstein 360",US894123,,"SELECT A.ACCOUNT_NUMBER 2         , E.EQUIPMENT_SERIAL_NUMBER 3         , E.RECORD_START_TS 4         , B.EQUIPMENT_BOX_TYPE_NAME 5         , E2.MANUFACTURER_NAME 6         , E2.MODEL_DESC 7         , E2.CUSTOMER_OWNED_IND 8         , E.RECORD_END_TS 9 FROM NDW_REPORT_VIEWS.ACCOUNT_EQUIPMENT_V AS E10 INNER JOIN NDW_REPORT_VIEWS.ACCOUNT_DIM AS A ON A.CUSTOMER_ACCOUNT_ID = E.ACCOUNT_KEY11 LEFT JOIN NDW_REPORT_VIEWS.ACCOUNT_EQUIPMENT_BOX_TYPE AS B ON E.EQUIPMENT_SERIAL_NUMBER = B.EQUIPMENT_SERIAL_NUMBER12                         AND E.ACCOUNT_KEY = B.CUSTOMER_ACCOUNT_ID13 LEFT JOIN14 (SELECT DISTINCT EQUIPMENT_SERIAL_NUMBER,15                 MANUFACTURER_NAME, MODEL_DESC, CUSTOMER_OWNED_IND16 FROM NDW_REPORT_VIEWS.EQUIPMENT_DIM17 WHERE TRUNC(RECORD_END_TS)='9999-12-31'18 ) AS E2 ON E2. EQUIPMENT_SERIAL_NUMBER = E.EQUIPMENT_SERIAL_NUMBER1920 WHERE A.ACCOUNT_NUMBER =  '0110510000002'21 AND TRUNC(E.RECORD_END_TS)='9999-12-31'",
10,Product Survey Dashboard,"Bring continuous customer feedback about our products to the right people faster through rNPS scores and verbatim responses

Provide actionable insights about the impact of reliability on a customer’s likelihood to recommend through pain point identification

Celebrate the features that customers love and find opportunities to promote targeted awareness

","1.Provide quick overview of rNPS by Product and context for NPS score, including pain points and feature awareness.          2.Showed positive trends quarter over quarter, validating prioritization of H1 2016 initiatives                      3.Uncovered top issues from the customer perspective, with fixes already created or initiatives developed to
fix some pain points",NPS,"TV,HSD",CXA,Bryan Kelly,Bryan Kelly,Taylor Lee,Bryan Kelly,Bryan Kelly,Bryan Kelly,,https://comcast.app.box.com/files/0/f/14367261271/Dashboard,01-12-2016,,"NPS Product Dashboard,Trend and NPS Impact View , Pain Point Explorer ,Feature Explorer",NA,,,
